nome,indirizzo,citta,provincia,nazione,lat,lng
"Az. olivinicola Terre Stregate, SP87 n°10, Guardia Sanframondi, 82034 Santa Lucia (BN)","SP87, 82034 Guardia Sanframondi BN, Italia",Guardia Sanframondi,BN,Italia,41.250165,14.5718391
CANTINA BENEDETTO SRL,"Strada Statale 544, 22, 76015 Cerignola Foggia, Italia",Cerignola Foggia,,Italia,41.3575576,16.0713428
CEWO WORTMANN Gmbh & CO KG,"Pappelweg 16, 33378 Rheda-Wiedenbrück, Germania",Rheda-Wiedenbrück,,Germania,51.8544556,8.3400578
Corman GmbH - Beesten Hauptstrasse 6 49832 Beesten,"Raiffeisenstraße 3-5, 49832 Beesten, Germania",Beesten,,Germania,52.4371198,7.4975611
Nestlé Pontecesures,"Barrio la Cova, 4, 36640 Puentecesures, Pontevedra, Spagna",Puentecesures,Pontevedra,Spagna,42.7199631,-8.6568894
RADER EIPRODUKTE,"Max-Eyth-Straße 6, 89340 Leipheim, Germania",Leipheim,,Germania,48.4605595,10.2129695
3 B Latte Brignano Gera d'Adda,"Via Cologno, 10, 24053 Brignano Gera d'Adda BG, Italia",Brignano Gera d'Adda,BG,Italia,45.5481677,9.6588786
A Dohrn & A. Timm GmbH & Com,"Birkholzer Str. 101, 15831 Großbeeren, Germania",Großbeeren,,Germania,52.3462717,13.352849
A&A CHOCOLATERIE LOKEREN,"A14, 9160 Lokeren, Belgio",Lokeren,,Belgio,51.0771893,3.9967785
A&A Fratelli Parodi Campomorone,"Via Valverde, 96, 16014 Campomorone GE, Italia",Campomorone,GE,Italia,44.5204634,8.8743551
A-ware Dairy Trade B. V. Saturnus 21 8448 CC Heerenveen,"Saturnus 23, 8448 CC Heerenveen, Paesi Bassi",Heerenveen,,Paesi Bassi,52.982017,5.9494985
AArhus Karlshamnt Aarhus,"Danimarca, 8000 ?hus, Celebesvej",?hus,,,56.1452248,10.2125208
AarhusKarlshamn B.V,"Lagedijk 242, 1544 BN Zaandijk, Paesi Bassi",Zaandijk,,Paesi Bassi,52.4776453,4.8097183
Abafood Viadana,"Via dei Tigli, 42-54, 46019 Viadana MN, Italy",Viadana,MN,Italia,44.9395908,10.512854
Acetaia Monari Federzoni 1912 Solara,"Via Carrate, 24, 41030 Solara MO, Italia",Solara,MO,Italia,44.7794257,11.0962431
ADDITIUS SANTA MARIA,"Carrer Can Balada, 3, 08460 Santa Maria de Palautordera, Barcelona, Spagna",Santa Maria de Palautordera,Barcelona,Spagna,41.6905615,2.4583836
ADEA BUSTO ARSIZIO,"Via Baden Powel, 9, 21052 Sacconago VA, Italia",Sacconago,VA,Italia,45.5853976,8.8251078
