nome,indirizzo,citta,nazione,lat,lng
CLEANING LIMPENS MAASTRICHT,"Galjoenweg 74, 6222 NV Maastricht, Paesi Bassi",Maastricht,Paesi Bassi,50.8765691,5.7062106
GRUNOVAL S.L 39590 REOCIN,"Bo. Valles, 43, 39590 Reocín, Cantabria, Spagna",Reocín,Spagna,43.3543243,-4.1120742
WTW WARMERVILLE TANK WASHING,"9 Rue Pierre Mangeart, 51110 Isles-sur-Suippe, Francia",Isles-sur-Suippe,Francia,49.3490008,4.202297
"2500 Saint-Martin-lez-Tatinghem, Francia","240 Route de Boulogne (Ancien. RN42), 62500 Saint-Martin-lez-Tatinghem, Francia",Saint-Martin-lez-Tatinghem,Francia,50.7401483,2.1990315
Acqua Per Risciaquo,"DK92 101, Polonia",DK92 101,Polonia,52.3427676,15.7509445
"ACQUA PER RISCIACQUO 26800 Portes-lès-Valence, Francia","445 Rue Jean Mermoz, 26800 Portes-lès-Valence, Francia",Portes-lès-Valence,Francia,44.8837761,4.8707566
Acqua per risciacquo Marghera,"Strada Statale 309 Romea, 30176 Venezia VE, Italia",Venezia,Italia,45.444560781743,12.204502458568
Acqua per risciacquo ORTE,"E35, 01028 Orte VT, Italia",Orte,Italia,42.45189129797,12.4045525751
Acqua per Risciaquo,"Via Paul-Henri Spaak, 1, 15067 Novi Ligure AL, Italia",Novi Ligure,Italia,44.767502,8.7685538
ACQUA RISCIACQUO VILLAFALLETTO,"SP25, 12020 Villafalletto CN, Italia",Villafalletto,Italia,44.555362175728,7.5420681933692
ADAMI TRASPORTI E LAVAGGIO VERONA,"Strada Bresciana, 54, 37139 Verona VR, Italia",Verona,Italia,45.4459639,10.9113505
Albert Keijzer Zaandam,"Albert Keijzerstraat 1-4, 1508 EZ Zaandam, Paesi Bassi",Zaandam,Paesi Bassi,52.4627865,4.8162179
ANELLI GLOBAL MILK,"SS45bis, 34, 25020 Poncarale BS, Italia",Poncarale,Italia,45.44884,10.196649
Anhalt Spedition,"Tannenweg 1, 25776 Rehm-Flehde-Bargen, Germania",Rehm-Flehde-Bargen,Germania,54.2825441,9.0472831
Anhalt Duisburg,"Boschstraße 11, 47167 Duisburg, Germania",Duisburg,Germania,51.4909352,6.7974285
ASRO CLEAN EFTCO,"Textilstraße 4, 4700 Eupen, Belgio",Eupen,Belgio,50.6443931,6.0198325
ATC PROFESSIONAL SERVICE,"Alsónémedi, GLS Európa u. 2, 2351 Ungheria",GLS Európa u. 2,,47.347752404915,19.163117123607
Autoservice 24 - Castelnuovo Scrivia,"Viale Europa, 25, 15053 Castelnuovo Scrivia AL, Italia",Castelnuovo Scrivia,Italia,44.9802275,8.9014794
Autosolid Lavaggio Belsk,"Odrzywołek 24A, 05-622, Polonia",05-622,Polonia,51.8432198,20.8325662
Beauty Truck S.Croce sull Arno,"SP66, 56029 Santa Croce sull'Arno PI, Italia",Santa Croce sull'Arno,Italia,43.7281848,10.7579214
Berango Logísticos,"Arañaburu Kalea, 5, 20180, Gipuzkoa, Spagna",Gipuzkoa,Spagna,43.3200545,-1.8541348
Bevernaegie Transport,"Oostlaan, 8850 Ardooie, Belgio",Ardooie,Belgio,50.9730501,3.2004433
Bonifica Cisterne - Piacenza,"Str. Borgoforte, 29, 29122 Piacenza PC, Italia",Piacenza,Italia,45.0579595,9.7349211
Carapellese Trasporti Barletta,"Via Andria, 76121 Barletta BT, Italia",Barletta,Italia,41.274059170505,16.291260045383
Celsius Tank Cleaning,"Marie Curieweg 9, 4389 WB Ritthem, Paesi Bassi",Ritthem,Paesi Bassi,51.4591228,3.6075274
CENTRO LOGISTICO LAVACAM (TRAVESA),"Calle la Mota, 2, 13610 Campo de Criptana, Cdad. Real, Spagna",Campo de Criptana,Spagna,39.3980568,-3.1179455
CISTERNAS MARIA,"Plaza Industrial, 14A, 23620 Mengíbar, Jaén, Spagna",Mengíbar,Spagna,37.9824746,-3.7975883
CLAESSEN VENLO,"Trade Port West, Columbusweg 25, 5928 Venlo, Paesi Bassi",Venlo,Paesi Bassi,51.3946466,6.1051326
CLEAN 33 BASSENS,"17-29 Rue du Port, 33530 Bassens, Francia",Bassens,Francia,44.9054208,-0.5252518
CLEAN 71,"4 Rue Sadi Carnot et L J Thénard, 71530 Champforgeuil, Francia",Champforgeuil,Francia,46.8170306,4.8444716
Clean Car di Mancin ( Acqua per Risciacquo),"SR516, 10, 45011 Adria RO, Italia",Adria,Italia,45.0776097,12.0584178
Cotac Belgium Anversa,"Transcontinentaalweg 12, 2030 Antwerpen, Belgio",Antwerpen,Belgio,51.2745529,4.3874819
Cotac Dormagen,"K18, 41540 Dormagen, Germany",Dormagen,Germania,51.0857903,6.8150075
Cotac Hamburg,"Wendenstraße 430, 20537 Hamburg, Germania",Hamburg,Germania,53.549933564652,10.050003968129
Cotac Mannheim,"Holländerstraße 5, 68219 Mannheim, Germania",Mannheim,Germania,49.4220124,8.5076745
"CURT RICHTER 84561 Mehring,","Haydnstraße, 84561 Mehring, Germania",Mehring,Germania,48.193374,12.7796651
Dekker Ouderkerk,"IJsseldijk West 64, 2935 Ouderkerk aan den IJssel, Paesi Bassi",Ouderkerk aan den IJssel,Paesi Bassi,51.9316451,4.6215564
Delisle Lavage,"3 Parc D’Activités - Guilberville, 50160 Torigny-les-Villes, Francia",Torigny-les-Villes,Francia,48.984579482956,-0.94891686140391
Delisle Lavage,"92 Le Carreau, 51230 Connantre, Francia",Connantre,Francia,48.731577854595,3.9120268529173
Delisle Lavage Rosieres aux Salines,"Chem. des Sables, 54110 Dombasle-sur-Meurthe, Francia",Dombasle-sur-Meurthe,Francia,48.60099754066,6.3615328524175
DISTRIBUTORE PER CANNA ACQUA FREYBURG,"Merseburger Str. 1, 06632 Freyburg (Unstrut), Germania",Freyburg (Unstrut),Germania,51.2205638,11.7728376
Eco Lavaggio Anzio,"Strada Regionale 207, 00048 Nettuno LT, Italia",Nettuno,Italia,41.5179309,12.6292706
Ecotrailer Lavadero,"Travesia España, 50, 47430 Pedrajas de San Esteban, Valladolid, Spagna",Pedrajas de San Esteban,Spagna,41.3504083,-4.5599164
EIKELENBOOM AMSTERDAM,"Oceanenweg 13A, 1047 BA Amsterdam, Paesi Bassi",Amsterdam,Paesi Bassi,52.4107433,4.7661935
Em Car Service Busca,"Via Maira, 12022 Busca CN, Italia",Busca,Italia,44.5110272,7.4862772
ERPC Road Euro Professional Cleaning Courcelles,"Rue de Hainaut 8, 6180 Courcelles, Belgio",Courcelles,Belgio,50.4800265,4.3532354
Espace Poids Lourds ORANGE,"Ancienne Route d'Orange, 84100 Orange, Francia",Orange,Francia,44.1112531,4.8494016
Euro Truck Wash Sittensen,"Hansestraße 10A, 27419 Sittensen, Germania",Sittensen,Germania,53.294086,9.5057398
EURO WASH MARGHERA,"Strada Regionale 11 Padana Superiore, 30176 Venezia VE, Italia",Venezia,Italia,45.4567371,12.2180774
EVEREST LAVAGGIO TYCHY,"Fabryczna 11, 43-100 Tychy, Polonia",43-100 Tychy,Polonia,50.102769,19.0176827
Expert Lavaggi Govone,"Italia, 12040 Govone CN, Zona Industriale",Govone,,44.783441,8.097243
FI-NE Teramostr. 10 87700 Memmingen Germany,"Teramostraße 10, 87700 Memmingen, Germania",Memmingen,Germania,48.0048078,10.1611953
Fi-ne Cleaning Rothis,"Interpark Focus 16, 6832 Röthis, Austria",Röthis,Austria,47.3067611,9.617961
Flaminia Trasporti Spoleto,"Via Giovanni Marcora, 39, 06049 Madonna di Lugo PG, Italia",Madonna di Lugo,Italia,42.7648178,12.7503991
Garajes Dacosta Pontevedra - No Eftco,"Lugar a Rocha, 85, 36418 Atios, Pontevedra, Spagna",Atios,Spagna,42.145133582784,-8.6215730523107
Giezendanner AG Juraweg 26 4852 Rothrist,"Juraweg, 4852 Rothrist, Svizzera",Rothrist,Svizzera,47.3083938,7.878771
